Key Name,File(s) Read,Function(s) Read,File(s) Written,Function(s) Written,Data Structure,Example Fields,Current Purpose,Operational Data,Visible To Other Users Needed,Must Be Backed Up,Affects Vehicle Workflow,Est. Existing Records,Proposed Destination,Migration Priority,Risk Level,Category
vehicleTrackingCoreNavisionOnlyEdits:v1 (EDITS_KEY),app.js,loadVehicleEdits(); selectedVehicle() merges edits onto base rows,app.js,saveVehicleEdits() (generic field-level patch-and-merge for ANY vehicle field),"Object keyed by vehicleKey(vehicle) -> {field: newValue, ...} (arbitrary partial field patch)",location; pmbStage; pmbBayStage; pmbBayNumber; partsRequired; partsOrdered; partsReceived; partsStoppage; partsStoppageReason; qcCompletedAt; rftTransferredAt; rftCollectedAt; required/completed work flags; notes fields; virtually any vehicle property,Central generic 'patch a vehicle field' store. Every vehicle mutation in the app funnels through this one key via saveVehicleEdits().,Yes,Yes,Yes,Yes,"1 entry per edited vehicle, unbounded field count per entry -- likely hundreds of vehicles x dozens of fields each across the fleet history",public.vehicles (columns already exist for most fields) + public.vehicle_work_items + public.vehicle_parts_updates,1 (highest -- this is the single generic write path the review explicitly said must NOT become one more generic RPC),High -- currently the single most systemic risk; must be decomposed into specific protected business actions not a 1:1 port,A
vehicleTrackingCoreNavisionOnlyVehicles:v1 (ADDED_KEY),app.js,loadAddedVehicles(); merged into the working vehicle list at render time,app.js,"saveAddedVehicles() called from addCustomerFromForm() (manual add), applyNavisionImportPlanUnsafe(), ensureVehicleForPd(), ensureVehicleForPo(), applyVehicleImportReview(), removeVehiclesFromTrackerUnsafe()",Array of full vehicle-record objects (same shape as an imported Navision/PO row),stock; customer; make; model; vin; jobCard; salesperson; source ('manual'/'email'/'po'); all the same fields as an imported vehicle,Holds every vehicle that exists ONLY because it was manually added or derived from PO/email import rather than a Navision import row.,Yes,Yes,Yes,Yes,"Likely tens to low hundreds of manually-added vehicles per browser, unknown total across all staff computers",public.vehicles (insert path) + public.vehicle_aliases for identifier variants,2,High -- this is literally vehicle creation; must use a protected create-vehicle RPC with strict identifier validation to avoid duplicate creation across browsers,A
vehicleTrackingCoreNavisionOnlyDeleted:v1 (DELETED_KEY),app.js,loadDeletedVehicles(); powers the Deleted Vehicles screen,app.js,removeVehiclesFromTrackerUnsafe() (delete); restore flow reads/re-adds from this list,Array of vehicle-record objects plus a deletion reason/timestamp,stock; customer; deletedAt; deletedReason; full original vehicle snapshot,Soft-delete list -- vehicles removed from the active board but recoverable via the Deleted Vehicles screen.,Yes,Yes,Yes,Yes,"Ongoing accumulation, unbounded",public.vehicles.deleted_at/deleted_reason (columns already exist) + public.deleted_completed_vehicles (already exists for a related but distinct completed-vehicle-archival case -- needs a decision on which table is authoritative for manual soft-delete vs completed-archival),3,Medium -- existing mark_vehicle_deleted/restore_vehicle RPCs already implement exactly this in Supabase; largely a wiring exercise not new design,A
vehicleTrackingCoreNavisionOnlyPoTasks:v1 (PO_TASKS_KEY),app.js,loadPoTasks(),app.js,savePoTasks(),Object keyed by some task/vehicle identifier -> task metadata (status/notes/assignee-like fields -- exact shape unclear from usage sites alone),UNCLEAR -- purpose inferred as 'Purchase Order task tracking' from the key name and adjacent PO_FILES_KEY but the full field shape was not traced to a single canonical writer function in this pass,Tracks PO-related follow-up tasks associated with vehicles/purchase orders.,Likely yes,Likely yes,Likely yes,Possibly (if PO tasks block workshop readiness),Unknown -- not counted in this pass,New table e.g. public.po_tasks (vehicle_id FK) -- exact columns TO BE CONFIRMED before Stage 2B/2D implementation,4,Medium -- flagged explicitly as an area needing developer clarification before schema design (see 'Fields whose meaning is unclear' in the migration plan),A (tentative -- confirm before implementing)
vehicleTrackingCoreNavisionOnlyPoFiles:v1 (PO_FILES_KEY),app.js,loadPoFiles(),app.js,savePoFiles(),Object keyed by an identifier -> file metadata (name/size/data-url or similar -- not fully traced),UNCLEAR -- likely attached PO document references/metadata,Associates uploaded PO-related files with a vehicle or PO record.,Likely yes,Likely yes,Likely yes,Possibly,Unknown,New table e.g. public.po_task_attachments referencing Supabase Storage (never store large binary blobs as JSON in a Postgres text column) -- exact design TO BE CONFIRMED,4,Medium -- same clarification need as PO_TASKS_KEY; also has a distinct risk that current values are base64/data-URL blobs unsuitable for direct migration into a database column,A (tentative -- confirm before implementing)
vehicleTrackingCoreNavisionOnlyAuditLog:v1 (AUDIT_LOG_KEY),app.js,loadAuditLog(); read by several runStorageTransaction() calls as a co-mutated key,app.js,Appended to inside runStorageTransaction() alongside EDITS_KEY across many mutation call sites (QC completion; PMB stage move; bay assignment; bay work completion; email-review approve/reject/apply),"Array of log-entry objects (action description, timestamp, presumably actor)",action text; timestamp; possibly vehicle reference -- exact shape not fully enumerated in this pass,Local free-text audit trail of actions taken in the browser -- NOT the same thing as the real Supabase audit_events table (which already exists and is the authoritative audit mechanism for every migrated RPC).,Yes (as evidence),Yes,Yes,No (does not itself drive workflow -- it is a record OF workflow changes),Unbounded accumulation per browser,"public.audit_events (already exists, already used by every migrated RPC via audit_pdc_event()) -- this key becomes fully redundant once the actions it logs move to protected RPCs, not migrated as its own table",5,Low risk to migrate (superseded rather than moved) but HIGH risk if retired before every action it currently logs has an equivalent audit_events entry -- must not create an audit gap during transition,"C (superseded by existing audit_events, not migrated as-is)"
vehicleTrackingCoreEmailReviewDecisions:v1 (EMAIL_REVIEW_DECISIONS_KEY),app.js,loadEmailReviewDecisions() (helper around line ~14772),app.js,saveEmailReviewDecisions() called from the AI email/import review approve/reject/apply flows,"Object keyed by an email/review identifier -> decision record (approved/rejected, applied field changes, timestamp)",reviewId; decision; appliedFields; decidedBy; decidedAt,Tracks staff decisions on AI-detected email-derived vehicle updates (parts/ETA emails etc.) before this project's AI Email Monitoring work exists in Supabase form.,Yes,Possibly (multi-staff review queue benefits from shared visibility),Yes,Yes (drives which email-derived field changes were actually applied),Unknown,"public.ai_review_items / public.ai_proposed_actions (both already exist in the schema for a related but not identical AI-email-intake initiative -- needs reconciliation, not a blind 1:1 port, since that schema was designed for a structured AI pipeline this feature does not yet use)",6,Medium -- do not migrate blindly onto the AI-intake tables without confirming they are the right target; may need its own narrower table if the AI-intake schema's assumptions do not match this feature's actual current behaviour,A (tentative -- schema reconciliation needed)
vehicleTrackingCoreAiFileAssistantReviews:v1 (AI_FILE_ASSISTANT_REVIEWS_KEY),app.js,read inside the AI file assistant review UI (~line 14538 area),app.js,saveJson() call inside the same feature's save flow,Array/object of AI file-assistant draft review records,draft text; source file reference; review status,Stores draft AI-assistant reviews of uploaded files (e.g. auto-suggested vehicle field changes) pending staff approval.,Yes,Possibly,Yes,Possibly,Unknown,Likely part of the same ai_review_items / ai_proposed_actions reconciliation as EMAIL_REVIEW_DECISIONS_KEY above -- do not design a third parallel table without first reconciling these two,6,Medium -- same reconciliation risk as above,A (tentative -- schema reconciliation needed)
vehicleTrackingCoreNavisionOnlyAutocareDispatch:v1 (AUTOCARE_RESULTS_KEY),app.js,read into app.autocareScan at load (line ~1591),app.js,saveJson() from the Autocare dispatch/scan flow; cleared to null on reset,Object/array -- scan/dispatch result payload from an external Autocare integration,UNCLEAR -- external-system scan result snapshot,Caches the most recent Autocare dispatch scan result for display.,"Arguably yes (a shared dispatch result other staff may want to see) but is fundamentally a CACHE of an external system's last answer, not PDC's own source of truth",Possibly (useful cross-browser but re-fetchable from Autocare itself),Debatable -- if Autocare is queryable on demand this may not need durable backup,No (display-only cache),Single most-recent snapshot (not a growing list),Candidate for a disposable cache table (e.g. public.autocare_scan_cache) OR simply re-fetch-on-demand rather than migrate as durable history -- confirm with the business owner whether historical Autocare scan results have standalone value,7,Low -- not vehicle-workflow-critical; safe to defer past the vehicle-data stages,B/A borderline (tentative -- confirm business need for history before deciding)
vehicleTrackingCoreNavisionOnlyImport:v1 (NAVISION_IMPORT_RESULTS_KEY),app.js,read into app.navisionImport at load (line ~1594),app.js,saveJson() from the Navision import flow; cleared to null on reset; re-saved at line ~13937,"Object -- the most recent Navision import run's result summary (counts, matched/unmatched rows, etc.)",importedCount; updatedCount; skippedCount; errors; timestamp,Displays the outcome of the most recently run Navision import so staff can review what happened.,"Arguably (useful for other staff to see the last import outcome) but is a run-history record, not itself vehicle data",Possibly,Yes (already partially served by public.import_runs which exists precisely for this),"No (it is a report ABOUT imports, not vehicle state itself)",Single most-recent snapshot,"public.import_runs (already exists, already has run_by/started_at/completed_at/summary jsonb -- this is very likely already the correct destination and mostly a wiring exercise)",7,Low -- existing schema already fits this well,A (low-risk -- destination table already exists)
